cpu_s,cv,expected_overtime_min,fitness,instance,loader_release_rule,max_decision_time_s,mean_cmax_min,mean_decision_time_s,mean_loader_utilization,mean_n_reoptimizations,mean_pad_dump_utilization,mean_pad_fine_tons,mean_plant_dump_utilization,mean_plant_fine_tons,mean_truck_wait_min,method,prob_finish_within_shift,prob_pad_target,prob_plant_target,replications,rollout_seed,sd_cmax_min,search_fitness,simulation_seed,tsi_evaluations,tsi_seed
0.8147314998786896,0.2,0.0,1046.4823639323884,I02,,,831.9823639323884,,0.00933036126756853,,0.0,,0.009627036612742614,,0.0010724629813088312,SimTSI-DES,1.0,0.0,1.0,500,,2.6864058335048093,1045.9233553256895,500000,120,12345
1.1355876000598073,0.2,0.0,,I02,,0.0,831.9823639323884,0.0,0.00933036126756853,0,,,,,0.0010724629813088312,DynSimTSI-DES,1.0,0.0,1.0,500,900000,2.6864058335048093,,500000,,12345
0.5673843000549823,0.3,0.0,1046.5098611905582,I02,load_only,,832.0098611905582,,,,,0,,865.9751,,SimTSI-MC,1.0,0.0,1.0,500,,4.0539118267405305,1045.5252328925615,500000,120,12345
1.1611224999651313,0.3,0.0,1046.5098611905582,I02,,,832.0098611905582,,0.009337455418988408,,0.0,,0.009630498963741118,,0.00788748746335969,SimTSI-DES,1.0,0.0,1.0,500,,4.0539118267405305,1045.5252328925615,500000,120,12345
1.150786800077185,0.3,0.0,,I02,,0.0,832.0098611905582,0.0,0.009337455418988408,0,,,,,0.00788748746335969,DynSimTSI-DES,1.0,0.0,1.0,500,900000,4.0539118267405305,,500000,,12345
29.58680749987252,0.05,0.0,1051.295030494478,I03,load_only,,836.7950304944779,,,,,0,,865.9749999999999,,SimTSI-MC,1.0,0.0,1.0,500,,0.6793059115396634,1051.505142318735,500000,6781,12345
39.29902580007911,0.05,0.0,1051.295030494478,I03,,,836.7950304944779,,0.008374367554136598,,0.0,,0.014342057944315176,,0.0,SimTSI-DES,1.0,0.0,1.0,500,,0.6793059115396634,1051.505142318735,500000,6781,12345
41.00991049990989,0.05,0.0,,I03,,0.0,836.7950304944779,0.0,0.008374367554136598,0,,,,,0.0,DynSimTSI-DES,1.0,0.0,1.0,500,900000,0.6793059115396634,,500000,,12345
32.110768999904394,0.1,0.0,1051.3054435404315,I03,load_only,,836.8054435404316,,,,,0,,865.9749999999999,,SimTSI-MC,1.0,0.0,1.0,500,,1.3612892844325521,1051.7094229087063,500000,6781,12345
41.28345820005052,0.1,0.0,1051.3054435404315,I03,,,836.8054435404316,,0.008383350606158413,,0.0,,0.014342788599488015,,0.0,SimTSI-DES,1.0,0.0,1.0,500,,1.3612892844325521,1051.7094229087063,500000,6781,12345
40.69788260012865,0.1,0.0,,I03,,0.0,836.8054435404316,0.0,0.008383350606158413,0,,,,,0.0,DynSimTSI-DES,1.0,0.0,1.0,500,900000,1.3612892844325521,,500000,,12345
30.49409139994532,0.2,0.0,1051.318983828596,I03,load_only,,836.8189838285958,,,,,0,,865.9749999999999,,SimTSI-MC,1.0,0.0,1.0,500,,2.7319173883760035,1052.0567680506265,500000,6781,12345
36.156439299928024,0.2,0.0,1051.318983828596,I03,,,836.8189838285958,,0.00840103799162338,,0.0,,0.014342499043224561,,0.0,SimTSI-DES,1.0,0.0,1.0,500,,2.7319173883760035,1052.0567680506265,500000,6781,12345
36.850217500003055,0.2,0.0,,I03,,0.0,836.8189838285958,0.0,0.00840103799162338,0,,,,,0.0,DynSimTSI-DES,1.0,0.0,1.0,500,900000,2.7319173883760035,,500000,,12345
29.07566439989023,0.3,0.0,1051.324171158594,I03,load_only,,836.8241711585941,,,,,0,,865.9749999999999,,SimTSI-MC,1.0,0.0,1.0,500,,4.108129909775583,1052.3182369915744,500000,6771,12345
34.75951599981636,0.3,0.0,1051.324171158594,I03,,,836.8241711585941,,0.00841798488563719,,0.0,,0.01434031984287973,,0.0,SimTSI-DES,1.0,0.0,1.0,500,,4.108129909775583,1052.3182369915744,500000,6771,12345
35.00075070001185,0.3,0.0,,I03,,0.0,836.8241711585941,0.0,0.00841798488563719,0,,,,,0.0,DynSimTSI-DES,1.0,0.0,1.0,500,900000,4.108129909775583,,500000,,12345
184.8590243998915,0.05,0.0,928.5261657259659,I04,load_only,,928.5261657259659,,,,,235.95,,865.975,,SimTSI-MC,1.0,1.0,1.0,500,,0.7293735249674821,928.6116584809982,500000,31908,12345
221.32534039998427,0.05,0.0,928.5261657259659,I04,,,928.5261657259659,,0.007938937587457957,,0.002160951983663306,,0.01507678164843327,,0.0001689984883861655,SimTSI-DES,1.0,1.0,1.0,500,,0.7293735249674821,928.6116584809982,500000,31908,12345
228.57915830006823,0.05,0.0,,I04,,0.0,928.5261657259659,0.0,0.007938937587457957,0,,,,,0.0001689984883861655,DynSimTSI-DES,1.0,1.0,1.0,500,900000,0.7293735249674821,,500000,,12345
164.14960690005682,0.1,0.0,928.49330172342,I04,load_only,,928.49330172342,,,,,235.95,,865.975,,SimTSI-MC,1.0,1.0,1.0,500,,1.4572860843610764,928.6456634612089,500000,31908,12345
